player,team,stat_name,stat_amount
Architect,San Francisco Shock,All Damage Done,338636.5523
Choihyobin,San Francisco Shock,All Damage Done,650405.4852
moth,San Francisco Shock,All Damage Done,242469.9233
Nevix,San Francisco Shock,All Damage Done,19694.69571
Rascal,San Francisco Shock,All Damage Done,176389.8193
sinatraa,San Francisco Shock,All Damage Done,391237.7143
smurf,San Francisco Shock,All Damage Done,584413.3979
STRIKER,San Francisco Shock,All Damage Done,557991.537
super,San Francisco Shock,All Damage Done,22238.94364
Viol2t,San Francisco Shock,All Damage Done,431254.3729
Architect,San Francisco Shock,Healing Done,10928.83564
Choihyobin,San Francisco Shock,Healing Done,5.459999561
moth,San Francisco Shock,Healing Done,342224.6829
Rascal,San Francisco Shock,Healing Done,5331.633412
sinatraa,San Francisco Shock,Healing Done,1534.641972
STRIKER,San Francisco Shock,Healing Done,40944.09301
Viol2t,San Francisco Shock,Healing Done,567685.0059